category,domain,use_case_key,title,description,status,evidence,module_registry_key,priority,updated_at,module_demo_evidence,completion_interpretation,required_demo_story,required_tests,proposed_test_result,required_log,next_step
ai_governance,AI Governance Control Towers,accountability-ai-ct,Accountability AI (AccAI) Control Tower,Accountability AI (AccAI) Control Tower as specified in the ChatGPT blueprint.,partial,ai-governance page has Accountable AI section (traced execution attribution) -- real but no RACI/decision-authority matrix,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Accountability AI (AccAI) Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,agentic-ai-ct,Agentic AI Control Tower (AgentOps),Agentic AI Control Tower (AgentOps) as specified in the ChatGPT blueprint.,not_built,"No autonomous-agent concept exists -- cron jobs are deterministic, not agentic with authority levels",,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Agentic AI Control Tower (AgentOps); administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,cache-db-ct,Cache DB Control Tower,Cache DB Control Tower as specified in the ChatGPT blueprint.,not_built,No dedicated cache layer or cache-governance exists,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Cache DB Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,compliance-ai-ct,Compliance & Regulation AI (CompAI) Control Tower,Compliance & Regulation AI (CompAI) Control Tower as specified in the ChatGPT blueprint.,not_built,No regulation registry or control-mapping exists anywhere,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Compliance & Regulation AI (CompAI) Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,explainable-ai-ct,Explainable AI (ExpAI/XAI) Control Tower,Explainable AI (ExpAI/XAI) Control Tower as specified in the ChatGPT blueprint.,partial,ai-governance page has an Explainable AI section with model-generated rationale -- real but thin vs spec,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Explainable AI (ExpAI/XAI) Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,logs-trace-observability-ct,Logs/Traces/Observability/Audit Control Tower,Logs/Traces/Observability/Audit Control Tower as specified in the ChatGPT blueprint.,not_built,operation_run/job_run real data exists but not packaged as a dedicated trace-explorer UI,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Logs/Traces/Observability/Audit Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,mcp-ct,Model Context Protocol (MCP) Control Tower,Model Context Protocol (MCP) Control Tower as specified in the ChatGPT blueprint.,partial,"Real mcp_server/mcp_tool_call registry exists from earlier session work -- closest real match, not governance-framed",mcp-gateway,normal,2026-09-01T21:41:58.864411+00:00,PARTIAL_OR_GATED,Explicitly incomplete/out-of-scope in registry,Authorized user completes Model Context Protocol (MCP) Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,responsible-ai-ct,Responsible AI (RAI) Control Tower,Responsible AI (RAI) Control Tower as specified in the ChatGPT blueprint.,partial,"/admin/ai-governance real, 234 lines, covers this app's 24 Ollama jobs -- narrower than enterprise AI-BOM scope",,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Responsible AI (RAI) Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,sovereign-ai-ct,Sovereign AI Control Tower,Sovereign AI Control Tower as specified in the ChatGPT blueprint.,not_built,No sovereignty/data-residency tracking exists; local-Ollama-only is the de facto sovereign posture but untracked,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Sovereign AI Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,token-ct,Token Control Tower (LLM cost/budget governance),Token Control Tower (LLM cost/budget governance) as specified in the ChatGPT blueprint.,not_built,No token usage tracking or budget policy exists for the 24 real Ollama jobs,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Token Control Tower (LLM cost/budget governance); administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
