app,module_key,module,registry_claim,demo_evidence_tier,latest_pass,latest_fail,latest_skip,user_ui_registry_flag,admin_ui_registry_flag,business_use_case,user_story,input,process,output,customer_operation,admin_operation,pipeline_operation,agentic_operation,demo_script,integration,existing_gaps,documentation_gaps,source,last_registry_verification,required_acceptance,test_data_requirement,test_log_requirement
market-research-portal,content-factory,Content Management (Content Factory),real,NO_MAPPED_BROWSER_EVIDENCE,0,0,0,False,True," Non-video content types closed 2026-09-08: content_factory_project.content_medium (video/blog/whitepaper/case_study, default video, additive not a rename) lets a project be created without the video-only genre FK / duration_seconds / aspect_ratio -- a CHECK constraint still requires those 3 fields when medium=video, backstopping the app-layer validation. POST /api/content-factory create_project now branches on contentMedium; route_media (Higgsfield/Kling/FFmpeg pipeline routing) explicitly rejects non-video projects rather than silently misrouting them. UI: new Content medium selector on the create form, genre/duration/aspect-ratio fields now conditional on medium=video, project list shows medium-appropriate summary line, and the video-only ""Add Higgsfield short placeholder"" button is hidden for non-video projects. Left the existing sohamyoga-frontend blog CMS (/admin/blog, real /api/blog backend) as the system of record for actual blog publishing -- Content Factory owns ideation/draft/review stages only, not a duplicate CMS. Verified live: inserted a real blog project with NULL genre/duration/aspect_ratio (succeeded), confirmed a video project missing those same fields is correctly rejected by the new CHECK constraint, confirmed an invalid content_medium value is rejected, deleted all test rows afterward. tsc --noEmit clean.",NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED; source review required,Not established by registry; require planner/tool/result/recovery trace,[],[],No registry gap recorded; this is not proof of completeness,user_flow; admin_flow; user_story; input_desc; process_desc; output_desc; demo_use_cases; report_location,docs/chatgpt-extracts/twenty-five-item-advanced-management-list.md,2026-09-08T15:34:36.474048+00:00,Fresh named-user journey on deployed build; assert DB/output; authorized external receipt if needed; reset fixtures; retain logs/trace,"Isolated tenant, role-specific users, happy/negative/boundary fixtures; no shared customer_demo cleanup",run_id/build_sha/scenario_id/fixture_id/correlation_id/expected/actual/trace/checksum/cleanup result
market-research-portal,crm-leads,CRM — Leads & Email Templates,real,NO_MAPPED_BROWSER_EVIDENCE,0,0,0,True,True,Real lead capture (manual + public form submission) and reusable email templates.,"As a business owner, I want every form submission to become a real, trackable lead, so no inquiry is silently lost.","name/email/phone/message via a public form, or manual admin entry.",Straight CRUD with a status lifecycle; form capture is deliberately unauthenticated (public-facing) while list/update requires admin.,A lead row with real campaign/form attribution.,A public visitor submits a form (via marketing_form_link.slug) -> a real lead row is created; no other direct end-user surface.,"Admin views leads (with campaign/form attribution), updates lead status (new/contacted/qualified/converted/lost), can Queue call for a lead with a valid phone (wired to the Voice AI module), creates/approves email templates.",NOT DOCUMENTED; source review required,Not established by registry; require planner/tool/result/recovery trace,"[{""flow"": ""Visitor submits public form -> real lead row -> admin follow-up"", ""name"": ""Form-to-lead capture""}]",[],"No scheduled job; no lead scoring/enrichment (that exists separately and more fully in sohamyoga-frontend's own campaign_lead system, deliberately not duplicated here).",,this session's CRM build + docs/chatgpt-extracts/voice-agent-outbound-inbound-calling-platform.md (lead-call link),2026-08-31T05:30:21.834653+00:00,Fresh named-user journey on deployed build; assert DB/output; authorized external receipt if needed; reset fixtures; retain logs/trace,"Isolated tenant, role-specific users, happy/negative/boundary fixtures; no shared customer_demo cleanup",run_id/build_sha/scenario_id/fixture_id/correlation_id/expected/actual/trace/checksum/cleanup result
market-research-portal,hooks,Hook Management,real,NO_MAPPED_BROWSER_EVIDENCE,0,0,0,False,True,Reusable short attention-grabbing opener library with real performance tracking once attached to a published variant.,"As a content creator, I want a reusable library of proven hooks categorized by type, so I do not start every video from a blank page.",Hook text + one of 14 categories (question/shock/curiosity/...).,"CRUD with draft/approved/archived lifecycle; performance is a live join, never a stored/fabricated number.",A hook row with real (or honestly null/0) view/completion-rate stats.,No direct end-user surface — hooks are attached to content_factory_variant assets that eventually get published.,"Admin creates a hook (text + category + optional topic/platform), approves or archives it, sees real view/completion-rate stats once a variant using it has real content_factory_metric data.",NOT DOCUMENTED; source review required,Not established by registry; require planner/tool/result/recovery trace,"[{""flow"": ""Creator browses approved hooks by category, picks one, attaches it when creating a variant"", ""name"": ""Hook library for a new video""}]",[],"No scheduled job; no A/B comparison between hooks yet (would use the new Experiments framework pattern, not built for this module specifically).",,docs/chatgpt-extracts/digital-marketing-flow-video-hooks.md,2026-08-31T05:30:21.834653+00:00,Fresh named-user journey on deployed build; assert DB/output; authorized external receipt if needed; reset fixtures; retain logs/trace,"Isolated tenant, role-specific users, happy/negative/boundary fixtures; no shared customer_demo cleanup",run_id/build_sha/scenario_id/fixture_id/correlation_id/expected/actual/trace/checksum/cleanup result
market-research-portal,lead-scoring,Lead Scoring,real,NO_MAPPED_BROWSER_EVIDENCE,0,0,0,False,True,Deterministic scoring of real lead attributes.,NOT DOCUMENTED,NOT DOCUMENTED,"lead.score column existed since the CRM schema was first built but nothing ever wrote to it (grep-confirmed) -- now real, deterministic, explainable (reasons array returned on rescore).",NOT DOCUMENTED,NOT DOCUMENTED,Admin sees a real score badge (color-coded) per lead in the CRM table; can trigger a rescore.,NOT DOCUMENTED; source review required,Not established by registry; require planner/tool/result/recovery trace,[],[],"No automatic re-scoring on lead status change or time decay yet -- score is set once at creation, rescoring is manual.",user_flow; user_story; input_desc; output_desc; demo_use_cases; report_location,chat session 2026-08-31 build,2026-08-31T17:12:20.144347+00:00,Fresh named-user journey on deployed build; assert DB/output; authorized external receipt if needed; reset fixtures; retain logs/trace,"Isolated tenant, role-specific users, happy/negative/boundary fixtures; no shared customer_demo cleanup",run_id/build_sha/scenario_id/fixture_id/correlation_id/expected/actual/trace/checksum/cleanup result
market-research-portal,meeting-reports,Meeting Reports (Pre/Post-Meeting PDF Export),real,NO_MAPPED_BROWSER_EVIDENCE,0,0,0,True,True,"Real short pre-meeting briefs and long post-meeting reports with structured sections, participants, action items, and a real PDF export -- built 2026-09-01 to close a real gap: the schema/CRUD/create-UI already existed (including a dedicated export_requested event type) but nothing had ever generated an actual document.",NOT DOCUMENTED,"Report type, customer name, objective, per-section free text, action items","Real PDF generation with page-overflow handling and text wrapping; every empty section prints an honest ""(not filled in yet)"" rather than being skipped or fabricated",A real downloadable PDF matching the exact template structure already defined in the schema,NOT DOCUMENTED,"Admin visits /meeting-reports: creates a draft (pre_meeting_brief or post_meeting_report template), opens the new /meeting-reports/[id] detail page to fill in each real template section (executiveBrief/customerContext/marketSignals/... for short; executiveSummary/meetingNotes/decisions/... for long), sets status, and exports a real PDF.",NOT DOCUMENTED; source review required,Not established by registry; require planner/tool/result/recovery trace,[],[],"No detail/edit page existed before this (list+create only); fixed one real bug found during live verification (pdf-lib WinAnsi standard font cannot encode a Unicode checkbox character, only ASCII-range chars -- action items now render with a plain bracket marker instead). Verified live end-to-end for both report types: real PDF v1.7 generated, real audit event chain (created/updated/export_requested) confirmed in meeting_report_event.",user_flow; user_story; demo_use_cases; report_location,Session decision log 2026-09-01 (meeting report PDF export build),,Fresh named-user journey on deployed build; assert DB/output; authorized external receipt if needed; reset fixtures; retain logs/trace,"Isolated tenant, role-specific users, happy/negative/boundary fixtures; no shared customer_demo cleanup",run_id/build_sha/scenario_id/fixture_id/correlation_id/expected/actual/trace/checksum/cleanup result
market-research-portal,operations-alerts,Operations & Failure Tracking,real,NO_MAPPED_BROWSER_EVIDENCE,0,0,0,False,True,"Deterministic, non-AI sweep of every tracked operational table for failures, with a timestamped alert lifecycle.","As an admin, I want every real operational failure across this portal surfaced automatically, so nothing fails silently.","7 tracked tables (marketing_production_job, marketing_event_log, voice_call, content_factory_project, job_run, and the Ollama circuit breaker).","Deterministic SQL only, no AI/model in the loop — explicitly documented as such on its own AI Exp/Governance/Risk tabs.",operations_alert rows with a real open/acknowledged/resolved lifecycle.,No end-user surface — this is an internal operations tool.,"Admin reviews open alerts, acknowledges (investigating) or resolves them; the automatic sweep runs every 10 minutes regardless of whether anyone is watching.",operations-alert-sweep,Not established by registry; require planner/tool/result/recovery trace,[],[],"Does not yet cover Playwright/e2e results, API-route error rates, browser/UI console errors, or schema-migration failures (documented in its own Exclusion boundary tab).",demo_use_cases,this session's Operations & Failure Tracking build,2026-08-31T05:30:21.834653+00:00,Fresh named-user journey on deployed build; assert DB/output; authorized external receipt if needed; reset fixtures; retain logs/trace,"Isolated tenant, role-specific users, happy/negative/boundary fixtures; no shared customer_demo cleanup",run_id/build_sha/scenario_id/fixture_id/correlation_id/expected/actual/trace/checksum/cleanup result
market-research-portal,service-catalog,Service Catalog (browse + inquire),real,NO_MAPPED_BROWSER_EVIDENCE,0,0,0,True,True,Public customer-facing catalog of Market Research and Digital Marketing services.,"As a visitor, I want to browse real services and ask about one without creating an account or paying anything upfront, so I can get more information before committing.",category + name + description + optional price note (admin); name + email + optional message (visitor inquiry).,Real CRUD with draft/published/archived lifecycle; inquiry reuses the existing real lead-capture path rather than a parallel mechanism; rate-limited (5/min/IP) and email-format validated.,A real lead row linked to the specific service via service_item_id.,"Visitor browses /services, filters by category dropdown, clicks Inquire, submits name/email/message -- creates a real lead tied to the specific service.","Admin creates a service (category/name/description/price note), publishes it -- draft services are invisible to the public.",NOT DOCUMENTED; source review required,Not established by registry; require planner/tool/result/recovery trace,"[{""flow"": ""Visitor filters by category, clicks Inquire on a published service, submits contact info, real lead created and linked to that service"", ""name"": ""Browse and inquire""}]",[],"No checkout/payment -- no payment gateway exists anywhere in this codebase, so this is deliberately inquiry-only, not fabricated as a purchase flow.",,chat session 2026-08-31 build,2026-08-31T06:42:07.022619+00:00,Fresh named-user journey on deployed build; assert DB/output; authorized external receipt if needed; reset fixtures; retain logs/trace,"Isolated tenant, role-specific users, happy/negative/boundary fixtures; no shared customer_demo cleanup",run_id/build_sha/scenario_id/fixture_id/correlation_id/expected/actual/trace/checksum/cleanup result
market-research-portal,voice-ai,Voice AI (inbound/outbound calling),partial,PARTIAL_OR_GATED,0,0,0,False,True,"Agents, scripts, SIP config, workflows, voice profiles, consent, calls, leads, transcripts.","As an admin, I want to queue a consented follow-up call for a captured lead using an approved script, so the lead gets contacted without me dialing manually.",Lead phone (E.164) + an approved voice_script + consent basis + DNC confirmation.,"Deterministic status machine (draft->scheduled/blocked->completed), enforced server-side, never fabricated as placed without a real telephony provider.",A voice_call row with an honest status; lead.status auto-advances to contacted.,"A visitor/lead never sees this directly today — it acts on their behalf: once a lead is captured, an admin can queue a consented outbound call or (once enabled) receive a routed inbound call.","Admin authors an agent + script, approves the script, optionally builds a SIP trunk/workflow/routing rule, then queues a call for a lead (or simulates an inbound call to test routing) from the CRM or Voice AI page.",voice-call-dispatch,Not established by registry; require planner/tool/result/recovery trace,"[{""flow"": ""Lead submits form -> CRM captures lead -> admin queues call with approved script"", ""name"": ""Consented follow-up call""}, {""flow"": ""Admin simulates an inbound call to verify agent/script/workflow matching before real PSTN exists"", ""name"": ""Inbound routing simulation""}]",[],"No real PSTN telephony provider connected (schema/API/UI all real, calls stay honestly blocked); multi-language script support not built; LLM-drafted scripts (script_generate job type) unimplemented.",,docs/modules/voice-ai/README.md,2026-08-31T05:30:21.834653+00:00,Fresh named-user journey on deployed build; assert DB/output; authorized external receipt if needed; reset fixtures; retain logs/trace,"Isolated tenant, role-specific users, happy/negative/boundary fixtures; no shared customer_demo cleanup",run_id/build_sha/scenario_id/fixture_id/correlation_id/expected/actual/trace/checksum/cleanup result
sohamyoga-frontend,admin-viral-control-tower,Admin Viral Control Tower,real,NO_MAPPED_BROWSER_EVIDENCE,0,0,0,False,False,,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED; source review required,Not established by registry; require planner/tool/result/recovery trace,[],[],No registry gap recorded; this is not proof of completeness,user_flow; admin_flow; user_story; input_desc; process_desc; output_desc; demo_use_cases; report_location,,,Fresh named-user journey on deployed build; assert DB/output; authorized external receipt if needed; reset fixtures; retain logs/trace,"Isolated tenant, role-specific users, happy/negative/boundary fixtures; no shared customer_demo cleanup",run_id/build_sha/scenario_id/fixture_id/correlation_id/expected/actual/trace/checksum/cleanup result
sohamyoga-frontend,ads-bidding-screen,Bidding Screen,real,NO_MAPPED_BROWSER_EVIDENCE,0,0,0,False,False,,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED,NOT DOCUMENTED; source review required,Not established by registry; require planner/tool/result/recovery trace,[],[],No registry gap recorded; this is not proof of completeness,user_flow; admin_flow; user_story; input_desc; process_desc; output_desc; demo_use_cases; report_location,,,Fresh named-user journey on deployed build; assert DB/output; authorized external receipt if needed; reset fixtures; retain logs/trace,"Isolated tenant, role-specific users, happy/negative/boundary fixtures; no shared customer_demo cleanup",run_id/build_sha/scenario_id/fixture_id/correlation_id/expected/actual/trace/checksum/cleanup result
