category,domain,use_case_key,title,description,status,evidence,module_registry_key,priority,updated_at,module_demo_evidence,completion_interpretation,required_demo_story,required_tests,proposed_test_result,required_log,next_step
ai_governance,AI Governance Control Towers,accountability-ai-ct,Accountability AI (AccAI) Control Tower,Accountability AI (AccAI) Control Tower as specified in the ChatGPT blueprint.,partial,ai-governance page has Accountable AI section (traced execution attribution) -- real but no RACI/decision-authority matrix,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Accountability AI (AccAI) Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,agentic-ai-ct,Agentic AI Control Tower (AgentOps),Agentic AI Control Tower (AgentOps) as specified in the ChatGPT blueprint.,not_built,"No autonomous-agent concept exists -- cron jobs are deterministic, not agentic with authority levels",,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Agentic AI Control Tower (AgentOps); administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,cache-db-ct,Cache DB Control Tower,Cache DB Control Tower as specified in the ChatGPT blueprint.,not_built,No dedicated cache layer or cache-governance exists,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Cache DB Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,chunking-ct,Chunking Control Tower (RAG),Chunking Control Tower (RAG) as specified in the ChatGPT blueprint.,n_a,This app does not do RAG/vector search at all -- infrastructure does not exist to govern,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Chunking Control Tower (RAG); administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,compliance-ai-ct,Compliance & Regulation AI (CompAI) Control Tower,Compliance & Regulation AI (CompAI) Control Tower as specified in the ChatGPT blueprint.,not_built,No regulation registry or control-mapping exists anywhere,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Compliance & Regulation AI (CompAI) Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,embedding-ct,Embedding Control Tower,Embedding Control Tower as specified in the ChatGPT blueprint.,n_a,"No embedding pipeline exists -- app uses direct Ollama text generation, not RAG",,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Embedding Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,explainable-ai-ct,Explainable AI (ExpAI/XAI) Control Tower,Explainable AI (ExpAI/XAI) Control Tower as specified in the ChatGPT blueprint.,partial,ai-governance page has an Explainable AI section with model-generated rationale -- real but thin vs spec,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Explainable AI (ExpAI/XAI) Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,polyglot-db-ct,Historical/Vector/Graph DB Control Tower,Historical/Vector/Graph DB Control Tower as specified in the ChatGPT blueprint.,n_a,No vector or graph DB exists in this stack -- Postgres only,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Historical/Vector/Graph DB Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,hyperscaler-ct,Hyperscaler AI Control Tower (multi-cloud routing),Hyperscaler AI Control Tower (multi-cloud routing) as specified in the ChatGPT blueprint.,n_a,App deliberately uses only local Ollama -- opposite design choice from this pillar's assumption,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Hyperscaler AI Control Tower (multi-cloud routing); administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
ai_governance,AI Governance Control Towers,retrieval-ct,Index + Pre/Post-Retrieval Control Tower,Index + Pre/Post-Retrieval Control Tower as specified in the ChatGPT blueprint.,n_a,No vector index or retrieval pipeline exists,,normal,2026-09-01T21:41:58.864411+00:00,NO_MODULE_MAPPING,Explicitly incomplete/out-of-scope in registry,Authorized user completes Index + Pre/Post-Retrieval Control Tower; administrator verifies stored outcome and relevant downstream delivery.,happy path; invalid input; role/tenant isolation; retry/idempotency; downstream failure/recovery,NOT_RUN; see mapped historical results separately,scenario + fixture + build + actor role + request/job correlation + assertion + artifact + cleanup,"Resolve documented gap, implement/review, then execute controlled E2E demo"
