app,route,methods,source,verification
sohamyoga-frontend,/api/admin/ads/generate-creative,POST,sohamyoga-frontend/src/app/api/admin/ads/generate-creative/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/affiliates,"GET,POST",sohamyoga-frontend/src/app/api/admin/affiliates/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/ai-governance/assessments,"GET,POST",sohamyoga-frontend/src/app/api/admin/ai-governance/assessments/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/ai-governance,GET,sohamyoga-frontend/src/app/api/admin/ai-governance/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/analytics/cross-channel-roi,GET,sohamyoga-frontend/src/app/api/admin/analytics/cross-channel-roi/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/asanas,GET,sohamyoga-frontend/src/app/api/admin/asanas/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/attendance-overview,"GET,PUT",sohamyoga-frontend/src/app/api/admin/attendance-overview/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/bookings/[id]/generate-invoice,POST,sohamyoga-frontend/src/app/api/admin/bookings/[id]/generate-invoice/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/bookings/[id]/generate-order,POST,sohamyoga-frontend/src/app/api/admin/bookings/[id]/generate-order/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-guide/check-compliance,POST,sohamyoga-frontend/src/app/api/admin/brand-guide/check-compliance/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-guide/control-mapping,GET,sohamyoga-frontend/src/app/api/admin/brand-guide/control-mapping/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-guide/export,GET,sohamyoga-frontend/src/app/api/admin/brand-guide/export/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-guide/violations/[id]/history,GET,sohamyoga-frontend/src/app/api/admin/brand-guide/violations/[id]/history/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-guide/violations/[id],PATCH,sohamyoga-frontend/src/app/api/admin/brand-guide/violations/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-guide/violations,GET,sohamyoga-frontend/src/app/api/admin/brand-guide/violations/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-kits/[id]/assets,"GET,POST",sohamyoga-frontend/src/app/api/admin/brand-kits/[id]/assets/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-kits/assets/[assetId],DELETE,sohamyoga-frontend/src/app/api/admin/brand-kits/assets/[assetId]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-kits/upload,POST,sohamyoga-frontend/src/app/api/admin/brand-kits/upload/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-strategy/positioning/[id],DELETE,sohamyoga-frontend/src/app/api/admin/brand-strategy/positioning/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-strategy/positioning,"GET,POST",sohamyoga-frontend/src/app/api/admin/brand-strategy/positioning/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-strategy,"GET,PUT",sohamyoga-frontend/src/app/api/admin/brand-strategy/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-templates/[id]/apply,POST,sohamyoga-frontend/src/app/api/admin/brand-templates/[id]/apply/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/brand-templates,"GET,POST",sohamyoga-frontend/src/app/api/admin/brand-templates/route.ts,Declared route only; method success and authorization unverified in this inventory
