id,scope,business_use_case,day_life_story,test_data,input,process_and_demo_steps,expected_output,known_gap_or_limit,historical_spec,manual_operation,pipeline_operation,agentic_operation,planned_test_ids,test_result,log_requirement
J01,Customer,Register and verify identity,A new student signs up after seeing a yoga offer.,"Unique synthetic email, consent versions, valid/expired OTP","Unique synthetic email, consent versions, valid/expired OTP",Open registration; request real OTP; verify; create identity and customer; sign in,"One linked identity/customer, recorded consent, usable dashboard","Live demo login works but customer business record missing; OTP send is a UI delay, no verification",customer-registration.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J01-P,J01-N,J01-A,J01-R,J01-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J02,Customer,Recover account and manage sessions,A student forgets a password on a different device.,"Existing synthetic identity, reset token, second device","Existing synthetic identity, reset token, second device",Request reset; expire/reuse token; change password; revoke prior session,Account recovered without leaking account existence; revoked session denied,Fresh full recovery and session-revocation demo not evidenced,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J02-P,J02-N,J02-A,J02-R,J02-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J03,Customer,Complete profile and preferences,"A beginner changes goals, accessibility needs and contact preferences.","Linked customer, timezone, opt-in/opt-out choices","Linked customer, timezone, opt-in/opt-out choices",Edit profile; save; reload; check admin view and audit history,Persisted preferences drive permitted communication,Customer fixture missing; self-service suite has3 failures and99 skips,customer-self-service.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J03-P,J03-N,J03-A,J03-R,J03-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J04,Customer,Discover and book a class,A working parent finds an evening class and books one seat.,"Published class, timezone, active membership, one available seat","Published class, timezone, active membership, one available seat",Search; inspect teacher; book; reload customer and admin rosters,"One booking, one seat consumed, confirmation accessible",Complete paid-booking journey not established by current evidence,customer-interaction-tracking.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J04-P,J04-N,J04-A,J04-R,J04-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J05,Customer,Waitlist and capacity race,Two students compete for the final seat.,"Two isolated customers, capacity1, waitlist policy","Two isolated customers, capacity1, waitlist policy",Submit simultaneous bookings; cancel winner; promote waitlist,No overbooking; exactly one promotion and one confirmation,Defined capacity test exists but orchestrator has zero execution results,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J05-P,J05-N,J05-A,J05-R,J05-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J06,Customer,Reschedule and cancel,A student cannot attend and moves a class before the cutoff.,"Booking, cutoff boundary, replacement session","Booking, cutoff boundary, replacement session",Reschedule; retry; cancel inside/outside allowed window,"Correct seats, credits and history; no duplicate refund",Lifecycle test defined but no orchestrated execution evidence,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J06-P,J06-N,J06-A,J06-R,J06-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J07,Customer,Check in and attendance,A student arrives and staff confirms attendance.,"Valid booking, QR/token, expired token, second user","Valid booking, QR/token, expired token, second user",Scan; validate ownership; mark attendance; retry scan,"One attendance record, correct roster and engagement update",Kiosk QR/session handoff registry explicitly partial,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J07-P,J07-N,J07-A,J07-R,J07-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J08,Customer,Buy or change membership,A customer upgrades then pauses a monthly plan.,"Two plans, eligibility, renewal dates, payment sandbox","Two plans, eligibility, renewal dates, payment sandbox",Compare; subscribe; upgrade/prorate; pause/resume; cancel renewal,Entitlements and invoice schedule match chosen plan,Pricing self-service has10 incomplete registry use cases,customer-self-service.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J08-P,J08-N,J08-A,J08-R,J08-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J09,Customer,Cart to confirmed payment,A customer purchases a yoga product through an affiliate link.,"Product, cart, click token, configured affiliate rate, payment evidence","Product, cart, click token, configured affiliate rate, payment evidence",Add/edit cart; checkout; confirm actual payment; inspect order and commission,Order/customer/commission reconcile; no earnings while unpaid,Local manual-payment affiliate flow implemented; automated gateway not connected,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J09-P,J09-N,J09-A,J09-R,J09-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J10,Customer,Invoices and receipts,A customer downloads an invoice for reimbursement.,"Paid order, invoice, another customer account","Paid order, invoice, another customer account",Open invoice; download; verify tax totals; attempt cross-account access,Correct private invoice and payment reference,Customer order API currently404 for demo identity; complete invoice demo missing,customer-self-service.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J10-P,J10-N,J10-A,J10-R,J10-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
