ID / priority,Use case / user story,Input,Process,Output
UC01 / P0,"As a developer, continue editing when cloud quota ends","Goal, selected files, failing test, local mode",Explicit handoff to local Aider; propose/apply scoped diff; test,"Changed files, diff, test report, handoff note"
UC02 / P1,"As a developer, investigate a multi-file bug","Error, repository subset, reproduction",Build bounded file map; explain cause; edit and validate,"Patch, explanation, tests and unresolved risks"
UC03 / P1,"As an operator, route work to a suitable available model","Task, privacy, budget, latency requirement",Filter capabilities; benchmark-based selection; eligible fallback,Response plus provider/model and routing trace
UC04 / P0,"As a researcher, convert video to searchable text","MP4/MOV/WebM, language, optional glossary",Probe; extract audio; VAD; ASR; align; review,"TXT, Markdown, JSON segments, SRT and VTT"
UC05 / P0,"As a creator, convert a YouTube video to text",URL and authorized captions/media access,Fetch allowed captions first; otherwise authorized audio + ASR,"Transcript, source URL, timestamps and provenance"
UC06 / P1,"As a learner, understand a long recording quickly",Transcript and requested summary length,Segment by topic; summarize with timestamp references,"Summary, chapters, glossary and key takeaways"
UC07 / P1,"As a manager, extract decisions from a meeting","Audio/video, vocabulary, speaker information",ASR; optional diarization; extract supported action items,"Minutes, decisions, owners/dates where stated, unknowns"
UC08 / P1,"As a multilingual publisher, translate subtitles","Approved transcript, target language",Translate segments; preserve timing; review names and reading speed,Translated text and subtitle files
UC09 / P1,"As a researcher, search across recordings","Question, permitted source library",Retrieve transcript spans; generate cited answer,Answer with source/time links and uncertainty
UC10 / P1,"As a learner, capture slides and demonstrations","Video, sampling policy",Scene sampling; OCR; optional vision analysis; align to audio,Visual notes and extracted text with frame timestamps
UC11 / P0,"As a marketer, turn text into a finished narrated video","Brief, script, brand kit, duration, aspect ratio",Script review; storyboard; TTS; approved assets; template render,"MP4, thumbnail, captions, script and editable project"
UC12 / P2,"As a producer, generate original motion from a prompt","Scene prompt, references, seed, duration, budget",Select compatible generative workflow; render short scene; QA,Generated clip plus model/workflow/seed metadata
UC13 / P2,"As a retailer, animate a supplied product image","Product image, allowed changes, motion brief",Image-to-video workflow; identity/product consistency review,Short clip with provenance and review state
UC14 / P1,"As a trainer, convert a document into a lesson video","DOCX/PDF/Markdown, audience, lesson objectives",Extract; outline; cite; storyboard; narration; render,"Lesson MP4, slides/notes, quiz draft and source links"
UC15 / P1,"As an educator, create a screen/code explainer","Code/sample capture, narration and callouts",Capture isolated demo; synchronize highlights and voice,Explainer video and reproducible capture instructions
UC16 / P1,"As an editor, repurpose a long recording into shorts","Source video, audience, clip duration",Find candidate spans; human selection; trim/reframe/caption,"Reviewed clips in 9:16, 1:1 or 16:9"
UC17 / P1,"As a creator, add accessible captions",Video + corrected subtitle track,Style/preview; burn captions or package sidecar,Captioned MP4 and selectable subtitle assets
UC18 / P1,"As a producer, create or improve narration","Text or existing voice track, selected voice",TTS or cleanup; normalize; align; duck music,"WAV/MP3, timing metadata and mixed video"
UC19 / P2,"As a publisher, dub a video","Original video, translated script, authorized voice",Fit translation; synthesize; align; mix; review,"Dubbed video, transcript and audio stems"
UC20 / P1,"As a campaign manager, reuse a webinar across channels","Approved video/transcript, goals and brand","Create article, newsletter, posts and clip briefs",Linked campaign asset bundle with drafts
UC21 / P1,"As a brand owner, keep outputs consistent","Brand rules, logo, tone, examples",Versioned templates; validation; preview,Consistent channel variants and exceptions report
UC22 / P0,"As an admin, connect a channel correctly","Account, permitted scopes, ownership evidence",Guided manual prerequisites; OAuth/token test,Capability-specific readiness and remaining tasks
UC23 / P1,"As an editor, approve content before release","Draft, destination, target time",Per-channel preview; approval bound to content hash,Approved immutable publication version
UC24 / P1,"As a publisher, schedule without duplicate posts","Approved version, timezone, channel account",Queue; validate; idempotent adapter; reconcile,"External post ID/URL, status and attempt history"
UC25 / P2,"As a community manager, triage messages",Authorized incoming events and topic rules,Verify webhook; deduplicate; classify; draft response,"Inbox, response drafts and escalation tasks"
UC26 / P2,"As a marketer, measure campaign outcomes","Authorized metrics, tagged links, conversions",Normalize by channel; preserve source definitions,Performance dashboard and attribution limitations
UC27 / P2,"As a reputation manager, respond to feedback","Permitted review feed, account context",Classify; propose response; approve where required,"Review queue, reply draft and supported publication"
UC28 / P1,"As an operator, recover interrupted media jobs",Job ID and checkpoint,Lease expiry; stage retry; validate existing artifacts,Resumed job without duplicate charge/publication
UC29 / P1,"As a customer admin, control data access","Tenant, roles, retention rules",Enforce access on assets/jobs/search/export; audit,"Isolated workspace, retention and deletion evidence"
UC30 / P2,"As a platform owner, evaluate routing quality",Fixed task corpus and model candidates,Paired task runs; quality/cost/latency scoring,Reproducible benchmark and deployment decision
UC31 / P1,"As a B2B marketer, publish LinkedIn content","Approved text, image/video/document, member/page destination",Check product access/scopes; upload media; create post; reconcile,"LinkedIn post identifier, URL and per-action status"
UC32 / P1,"As a seller, prepare one listing for multiple portals","Title, description, price, category, location, images, stock",Validate master listing; map portal fields; preview differences,"Ready variants, unsupported-field warnings and posting tasks"
UC33 / P2,"As a seller, manage the complete listing lifecycle","Listing and external IDs, availability, expiry policy",Publish/update/close where authorized; track manual changes otherwise,Accurate live/expired/sold status and renewal reminders
UC34 / P1,"As a service team, answer inquiries from one screen",Authorized webhooks/API events or explicit manual imports,Normalize thread; link source post/listing; assign; draft response,"Unified conversation, owner, reply history and next action"
UC35 / P1,"As a manager, prevent missed customer responses","SLA by channel, business hours, owner",Calculate deadline; alert; escalate; record acknowledgment,"Overdue queue, notification and response-time report"
UC36 / P2,"As a sales lead, track inquiry to conversion","Conversation, consented contact, offer/booking outcome",Create/link CRM lead; retain source evidence; update stage,Lead timeline and attributed outcome with confidence
UC37 / P1,"As an editor, manage reels as reusable assets","Source video, hooks, CTA, language, target channels",Candidate clips; edit variants; review safe zones; schedule,"Reel family with parent source, versions and receipts"
UC38 / P1,"As a creator, continue editing in CapCut","Clip bundle, music/voice stems, captions and edit instructions",Export supported assets; editor task; ingest returned render,Versioned final video and handoff manifest
UC39 / P2,"As a designer, render branded After Effects templates","Validated template, text/image replacements, render settings",Dedicated licensed worker; scripted substitutions; aerender; QA,Motion graphic/video and template/job metadata
UC40 / P2,"As a producer, generate a Higgsfield scene","Prompt, approved references, chosen model, cost cap",Validate API entitlement; submit once; poll/callback; fetch output,"Scene clip/image, provider job ID, cost and review state"
UC41 / P2,"As an educator, create a Doodly whiteboard lesson","Storyboard, narration, drawings and timing notes",Export editor package; manual authoring unless vendor API verified; import render,"Whiteboard video, source bundle and revision link"
UC42 / P2,"As a learner, explore an educational AR object","Reviewed GLB/glTF model, lesson, scale, hotspots",Optimize model; present AR on supported device; supply3D fallback,"Interactive lesson, annotations and interaction events"
UC43 / P1,"As an educator, label parts and steps in video","Timed labels, definitions, bounding boxes/anchor points",Place overlays; validate timing/occlusion; preview; render,Labeled educational video and editable annotation track
UC44 / P1,"As an editor, add text and images to video","Text, logo/image, font, style, start/end time",Compose layers; keyframe where supported; enforce safe areas,Branded video and reusable overlay preset
UC45 / P2,"As an editor, remove or replace backgrounds","Source media, mask or segmentation choice, replacement",Segment/key; inspect edge quality; composite; correct manually,Foreground asset/matte and reviewed composite
UC46 / P1,"As a producer, control audio quality","Voice/music/SFX clips, gains and timings",Trim; align; denoise; duck; normalize; check clipping,Mixed master and separate audio stems
UC47 / P1,"As a content manager, find assets by labels/tags","Taxonomy, campaign, topic, rights, language, source",Apply controlled tags plus editable AI suggestions,"Searchable library, usage lineage and expiration alerts"
UC48 / P1,"As an operator, receive useful alerts",Job/channel events and notification preferences,Deduplicate; severity route; acknowledge; escalate,In-app alert and enabled email/push delivery evidence
UC49 / P2,"As a reviewer, give frame-specific feedback","Preview, timestamp/frame, comment, assignee",Version-bound comments; edit request; resolve with new revision,"Review history, resolution evidence and approved version"
UC50 / P2,"As a teacher, assemble an interactive learning module","Video, transcript, AR object, questions, objectives",Package accessible lesson; assessment rules; LMS adapter,Web lesson and optional validated LMS package/report
